[00:33:57 CST 2026/05/17] [ERRO] (decoupled_handler.go:github.com/zhukovaskychina/xmysql-server/server/net.(*DecoupledMySQLMessageHandler).OnError:282) [OnError] 会话错误: SessionID=session session-closed, Read Bytes: 1, Write Bytes: 92, Read Pkgs: 0, Write Pkgs: 1, RemoteAddr=127.0.0.1:64949, Error=read tcp 127.0.0.1:3310->127.0.0.1:64949: read: connection reset by peer
[00:33:58 CST 2026/05/17] [ERRO] (enhanced_message_handler.go:github.com/zhukovaskychina/xmysql-server/server/dispatcher.(*EnhancedBusinessMessageHandler).checkQueryPrivilege:407)  权限检查失败: access denied: user 'root'@'127.0.0.1' lacks Create privilege
[00:33:58 CST 2026/05/17] [ERRO] (enhanced_message_handler.go:github.com/zhukovaskychina/xmysql-server/server/dispatcher.(*EnhancedBusinessMessageHandler).HandleQueryWithRealSession:108)  权限检查失败: access denied: user 'root'@'127.0.0.1' lacks Create privilege
[00:33:58 CST 2026/05/17] [ERRO] (decoupled_handler.go:github.com/zhukovaskychina/xmysql-server/server/net.(*DecoupledMySQLMessageHandler).OnError:282) [OnError] 会话错误: SessionID=session session-closed, Read Bytes: 1, Write Bytes: 92, Read Pkgs: 0, Write Pkgs: 1, RemoteAddr=127.0.0.1:64951, Error=read tcp 127.0.0.1:3310->127.0.0.1:64951: read: connection reset by peer
[00:33:59 CST 2026/05/17] [ERRO] (decoupled_handler.go:github.com/zhukovaskychina/xmysql-server/server/net.(*DecoupledMySQLMessageHandler).OnError:282) [OnError] 会话错误: SessionID=session session-closed, Read Bytes: 1, Write Bytes: 92, Read Pkgs: 0, Write Pkgs: 1, RemoteAddr=127.0.0.1:64952, Error=read tcp 127.0.0.1:3310->127.0.0.1:64952: read: connection reset by peer
[00:34:00 CST 2026/05/17] [ERRO] (decoupled_handler.go:github.com/zhukovaskychina/xmysql-server/server/net.(*DecoupledMySQLMessageHandler).OnError:282) [OnError] 会话错误: SessionID=session session-closed, Read Bytes: 1, Write Bytes: 92, Read Pkgs: 0, Write Pkgs: 1, RemoteAddr=127.0.0.1:64953, Error=read tcp 127.0.0.1:3310->127.0.0.1:64953: read: connection reset by peer
[00:34:01 CST 2026/05/17] [ERRO] (decoupled_handler.go:github.com/zhukovaskychina/xmysql-server/server/net.(*DecoupledMySQLMessageHandler).OnError:282) [OnError] 会话错误: SessionID=session session-closed, Read Bytes: 1, Write Bytes: 92, Read Pkgs: 0, Write Pkgs: 1, RemoteAddr=127.0.0.1:64954, Error=read tcp 127.0.0.1:3310->127.0.0.1:64954: read: connection reset by peer
[00:34:02 CST 2026/05/17] [ERRO] (decoupled_handler.go:github.com/zhukovaskychina/xmysql-server/server/net.(*DecoupledMySQLMessageHandler).OnError:282) [OnError] 会话错误: SessionID=session session-closed, Read Bytes: 1, Write Bytes: 92, Read Pkgs: 0, Write Pkgs: 1, RemoteAddr=127.0.0.1:64957, Error=read tcp 127.0.0.1:3310->127.0.0.1:64957: read: connection reset by peer
[00:34:03 CST 2026/05/17] [ERRO] (decoupled_handler.go:github.com/zhukovaskychina/xmysql-server/server/net.(*DecoupledMySQLMessageHandler).OnError:282) [OnError] 会话错误: SessionID=session session-closed, Read Bytes: 1, Write Bytes: 92, Read Pkgs: 0, Write Pkgs: 1, RemoteAddr=127.0.0.1:64958, Error=read tcp 127.0.0.1:3310->127.0.0.1:64958: read: connection reset by peer
[00:34:04 CST 2026/05/17] [ERRO] (decoupled_handler.go:github.com/zhukovaskychina/xmysql-server/server/net.(*DecoupledMySQLMessageHandler).OnError:282) [OnError] 会话错误: SessionID=session session-closed, Read Bytes: 1, Write Bytes: 92, Read Pkgs: 0, Write Pkgs: 1, RemoteAddr=127.0.0.1:64961, Error=read tcp 127.0.0.1:3310->127.0.0.1:64961: read: connection reset by peer
[00:34:05 CST 2026/05/17] [ERRO] (decoupled_handler.go:github.com/zhukovaskychina/xmysql-server/server/net.(*DecoupledMySQLMessageHandler).OnError:282) [OnError] 会话错误: SessionID=session session-closed, Read Bytes: 1, Write Bytes: 92, Read Pkgs: 0, Write Pkgs: 1, RemoteAddr=127.0.0.1:64962, Error=read tcp 127.0.0.1:3310->127.0.0.1:64962: read: connection reset by peer
[00:34:06 CST 2026/05/17] [ERRO] (decoupled_handler.go:github.com/zhukovaskychina/xmysql-server/server/net.(*DecoupledMySQLMessageHandler).OnError:282) [OnError] 会话错误: SessionID=session session-closed, Read Bytes: 1, Write Bytes: 92, Read Pkgs: 0, Write Pkgs: 1, RemoteAddr=127.0.0.1:64963, Error=read tcp 127.0.0.1:3310->127.0.0.1:64963: read: connection reset by peer
[00:34:07 CST 2026/05/17] [ERRO] (decoupled_handler.go:github.com/zhukovaskychina/xmysql-server/server/net.(*DecoupledMySQLMessageHandler).OnError:282) [OnError] 会话错误: SessionID=session session-closed, Read Bytes: 1, Write Bytes: 92, Read Pkgs: 0, Write Pkgs: 1, RemoteAddr=127.0.0.1:64964, Error=read tcp 127.0.0.1:3310->127.0.0.1:64964: read: connection reset by peer
[00:34:08 CST 2026/05/17] [ERRO] (decoupled_handler.go:github.com/zhukovaskychina/xmysql-server/server/net.(*DecoupledMySQLMessageHandler).OnError:282) [OnError] 会话错误: SessionID=session session-closed, Read Bytes: 1, Write Bytes: 92, Read Pkgs: 0, Write Pkgs: 1, RemoteAddr=127.0.0.1:64965, Error=read tcp 127.0.0.1:3310->127.0.0.1:64965: read: connection reset by peer
[00:34:09 CST 2026/05/17] [ERRO] (decoupled_handler.go:github.com/zhukovaskychina/xmysql-server/server/net.(*DecoupledMySQLMessageHandler).OnError:282) [OnError] 会话错误: SessionID=session session-closed, Read Bytes: 1, Write Bytes: 92, Read Pkgs: 0, Write Pkgs: 1, RemoteAddr=127.0.0.1:64966, Error=read tcp 127.0.0.1:3310->127.0.0.1:64966: read: connection reset by peer
[00:34:10 CST 2026/05/17] [ERRO] (decoupled_handler.go:github.com/zhukovaskychina/xmysql-server/server/net.(*DecoupledMySQLMessageHandler).OnError:282) [OnError] 会话错误: SessionID=session session-closed, Read Bytes: 1, Write Bytes: 92, Read Pkgs: 0, Write Pkgs: 1, RemoteAddr=127.0.0.1:64967, Error=read tcp 127.0.0.1:3310->127.0.0.1:64967: read: connection reset by peer
[00:34:11 CST 2026/05/17] [ERRO] (decoupled_handler.go:github.com/zhukovaskychina/xmysql-server/server/net.(*DecoupledMySQLMessageHandler).OnError:282) [OnError] 会话错误: SessionID=session session-closed, Read Bytes: 1, Write Bytes: 92, Read Pkgs: 0, Write Pkgs: 1, RemoteAddr=127.0.0.1:64968, Error=read tcp 127.0.0.1:3310->127.0.0.1:64968: read: connection reset by peer
[00:34:12 CST 2026/05/17] [ERRO] (decoupled_handler.go:github.com/zhukovaskychina/xmysql-server/server/net.(*DecoupledMySQLMessageHandler).OnError:282) [OnError] 会话错误: SessionID=session session-closed, Read Bytes: 1, Write Bytes: 92, Read Pkgs: 0, Write Pkgs: 1, RemoteAddr=127.0.0.1:64969, Error=read tcp 127.0.0.1:3310->127.0.0.1:64969: read: connection reset by peer
[00:34:13 CST 2026/05/17] [ERRO] (decoupled_handler.go:github.com/zhukovaskychina/xmysql-server/server/net.(*DecoupledMySQLMessageHandler).OnError:282) [OnError] 会话错误: SessionID=session session-closed, Read Bytes: 1, Write Bytes: 92, Read Pkgs: 0, Write Pkgs: 1, RemoteAddr=127.0.0.1:64970, Error=read tcp 127.0.0.1:3310->127.0.0.1:64970: read: connection reset by peer
[00:34:14 CST 2026/05/17] [ERRO] (decoupled_handler.go:github.com/zhukovaskychina/xmysql-server/server/net.(*DecoupledMySQLMessageHandler).OnError:282) [OnError] 会话错误: SessionID=session session-closed, Read Bytes: 1, Write Bytes: 92, Read Pkgs: 0, Write Pkgs: 1, RemoteAddr=127.0.0.1:64971, Error=read tcp 127.0.0.1:3310->127.0.0.1:64971: read: connection reset by peer
[00:34:15 CST 2026/05/17] [ERRO] (decoupled_handler.go:github.com/zhukovaskychina/xmysql-server/server/net.(*DecoupledMySQLMessageHandler).OnError:282) [OnError] 会话错误: SessionID=session session-closed, Read Bytes: 1, Write Bytes: 92, Read Pkgs: 0, Write Pkgs: 1, RemoteAddr=127.0.0.1:64974, Error=read tcp 127.0.0.1:3310->127.0.0.1:64974: read: connection reset by peer
[00:34:16 CST 2026/05/17] [ERRO] (decoupled_handler.go:github.com/zhukovaskychina/xmysql-server/server/net.(*DecoupledMySQLMessageHandler).OnError:282) [OnError] 会话错误: SessionID=session session-closed, Read Bytes: 1, Write Bytes: 92, Read Pkgs: 0, Write Pkgs: 1, RemoteAddr=127.0.0.1:64977, Error=read tcp 127.0.0.1:3310->127.0.0.1:64977: read: connection reset by peer
[00:34:17 CST 2026/05/17] [ERRO] (decoupled_handler.go:github.com/zhukovaskychina/xmysql-server/server/net.(*DecoupledMySQLMessageHandler).OnError:282) [OnError] 会话错误: SessionID=session session-closed, Read Bytes: 1, Write Bytes: 92, Read Pkgs: 0, Write Pkgs: 1, RemoteAddr=127.0.0.1:64978, Error=read tcp 127.0.0.1:3310->127.0.0.1:64978: read: connection reset by peer
[00:34:18 CST 2026/05/17] [ERRO] (decoupled_handler.go:github.com/zhukovaskychina/xmysql-server/server/net.(*DecoupledMySQLMessageHandler).OnError:282) [OnError] 会话错误: SessionID=session session-closed, Read Bytes: 1, Write Bytes: 92, Read Pkgs: 0, Write Pkgs: 1, RemoteAddr=127.0.0.1:64979, Error=read tcp 127.0.0.1:3310->127.0.0.1:64979: read: connection reset by peer
[00:34:19 CST 2026/05/17] [ERRO] (decoupled_handler.go:github.com/zhukovaskychina/xmysql-server/server/net.(*DecoupledMySQLMessageHandler).OnError:282) [OnError] 会话错误: SessionID=session session-closed, Read Bytes: 1, Write Bytes: 92, Read Pkgs: 0, Write Pkgs: 1, RemoteAddr=127.0.0.1:64980, Error=read tcp 127.0.0.1:3310->127.0.0.1:64980: read: connection reset by peer
[00:34:20 CST 2026/05/17] [ERRO] (decoupled_handler.go:github.com/zhukovaskychina/xmysql-server/server/net.(*DecoupledMySQLMessageHandler).OnError:282) [OnError] 会话错误: SessionID=session session-closed, Read Bytes: 1, Write Bytes: 92, Read Pkgs: 0, Write Pkgs: 1, RemoteAddr=127.0.0.1:64981, Error=read tcp 127.0.0.1:3310->127.0.0.1:64981: read: connection reset by peer
[00:34:21 CST 2026/05/17] [ERRO] (decoupled_handler.go:github.com/zhukovaskychina/xmysql-server/server/net.(*DecoupledMySQLMessageHandler).OnError:282) [OnError] 会话错误: SessionID=session session-closed, Read Bytes: 1, Write Bytes: 92, Read Pkgs: 0, Write Pkgs: 1, RemoteAddr=127.0.0.1:64982, Error=read tcp 127.0.0.1:3310->127.0.0.1:64982: read: connection reset by peer
[00:34:23 CST 2026/05/17] [ERRO] (decoupled_handler.go:github.com/zhukovaskychina/xmysql-server/server/net.(*DecoupledMySQLMessageHandler).OnError:282) [OnError] 会话错误: SessionID=session session-closed, Read Bytes: 1, Write Bytes: 92, Read Pkgs: 0, Write Pkgs: 1, RemoteAddr=127.0.0.1:65016, Error=read tcp 127.0.0.1:3310->127.0.0.1:65016: read: connection reset by peer
[00:34:24 CST 2026/05/17] [ERRO] (decoupled_handler.go:github.com/zhukovaskychina/xmysql-server/server/net.(*DecoupledMySQLMessageHandler).OnError:282) [OnError] 会话错误: SessionID=session session-closed, Read Bytes: 1, Write Bytes: 92, Read Pkgs: 0, Write Pkgs: 1, RemoteAddr=127.0.0.1:65021, Error=read tcp 127.0.0.1:3310->127.0.0.1:65021: read: connection reset by peer
[00:34:25 CST 2026/05/17] [ERRO] (decoupled_handler.go:github.com/zhukovaskychina/xmysql-server/server/net.(*DecoupledMySQLMessageHandler).OnError:282) [OnError] 会话错误: SessionID=session session-closed, Read Bytes: 1, Write Bytes: 92, Read Pkgs: 0, Write Pkgs: 1, RemoteAddr=127.0.0.1:65024, Error=read tcp 127.0.0.1:3310->127.0.0.1:65024: read: connection reset by peer
[00:34:26 CST 2026/05/17] [ERRO] (decoupled_handler.go:github.com/zhukovaskychina/xmysql-server/server/net.(*DecoupledMySQLMessageHandler).OnError:282) [OnError] 会话错误: SessionID=session session-closed, Read Bytes: 1, Write Bytes: 92, Read Pkgs: 0, Write Pkgs: 1, RemoteAddr=127.0.0.1:65031, Error=read tcp 127.0.0.1:3310->127.0.0.1:65031: read: connection reset by peer
[00:34:27 CST 2026/05/17] [ERRO] (decoupled_handler.go:github.com/zhukovaskychina/xmysql-server/server/net.(*DecoupledMySQLMessageHandler).OnError:282) [OnError] 会话错误: SessionID=session session-closed, Read Bytes: 1, Write Bytes: 92, Read Pkgs: 0, Write Pkgs: 1, RemoteAddr=127.0.0.1:65032, Error=read tcp 127.0.0.1:3310->127.0.0.1:65032: read: connection reset by peer
[00:34:32 CST 2026/05/17] [ERRO] (decoupled_handler.go:github.com/zhukovaskychina/xmysql-server/server/net.(*DecoupledMySQLMessageHandler).OnError:282) [OnError] 会话错误: SessionID=session session-closed, Read Bytes: 1, Write Bytes: 92, Read Pkgs: 0, Write Pkgs: 1, RemoteAddr=127.0.0.1:65046, Error=read tcp 127.0.0.1:3310->127.0.0.1:65046: read: connection reset by peer
[00:34:32 CST 2026/05/17] [ERRO] (enhanced_message_handler.go:github.com/zhukovaskychina/xmysql-server/server/dispatcher.(*EnhancedBusinessMessageHandler).checkQueryPrivilege:407)  权限检查失败: access denied: user 'root'@'127.0.0.1' lacks Select privilege
[00:34:32 CST 2026/05/17] [ERRO] (enhanced_message_handler.go:github.com/zhukovaskychina/xmysql-server/server/dispatcher.(*EnhancedBusinessMessageHandler).HandleQueryWithRealSession:108)  权限检查失败: access denied: user 'root'@'127.0.0.1' lacks Select privilege
[00:34:32 CST 2026/05/17] [ERRO] (enhanced_message_handler.go:github.com/zhukovaskychina/xmysql-server/server/dispatcher.(*EnhancedBusinessMessageHandler).checkQueryPrivilege:407)  权限检查失败: access denied: user 'root'@'127.0.0.1' lacks Select privilege
[00:34:32 CST 2026/05/17] [ERRO] (enhanced_message_handler.go:github.com/zhukovaskychina/xmysql-server/server/dispatcher.(*EnhancedBusinessMessageHandler).HandleQueryWithRealSession:108)  权限检查失败: access denied: user 'root'@'127.0.0.1' lacks Select privilege
[00:34:37 CST 2026/05/17] [ERRO] (decoupled_handler.go:github.com/zhukovaskychina/xmysql-server/server/net.(*DecoupledMySQLMessageHandler).OnError:282) [OnError] 会话错误: SessionID=session session-closed, Read Bytes: 1, Write Bytes: 92, Read Pkgs: 0, Write Pkgs: 1, RemoteAddr=127.0.0.1:65049, Error=read tcp 127.0.0.1:3310->127.0.0.1:65049: read: connection reset by peer
[00:34:38 CST 2026/05/17] [ERRO] (decoupled_handler.go:github.com/zhukovaskychina/xmysql-server/server/net.(*DecoupledMySQLMessageHandler).OnError:282) [OnError] 会话错误: SessionID=session session-closed, Read Bytes: 1, Write Bytes: 92, Read Pkgs: 0, Write Pkgs: 1, RemoteAddr=127.0.0.1:65050, Error=read tcp 127.0.0.1:3310->127.0.0.1:65050: read: connection reset by peer
